   1.0000000e-00   0.0000000e+00   1.3877788e-17
   0.0000000e+00   1.0000000e-00   0.0000000e+00
   1.3877788e-17   0.0000000e+00   1.0000000e-00
   9.9965327e-01  -2.4335191e-02   1.0056378e-02
   2.4386351e-02   9.9969012e-01  -4.9963802e-03
  -9.9316744e-03   5.2398862e-03   9.9993695e-01
   9.9975209e-01  -2.0648643e-02   8.3301399e-03
   2.0621053e-02   9.9978163e-01   3.3844571e-03
  -8.3982054e-03  -3.2118418e-03   9.9995958e-01
   9.9998244e-01  -5.4689678e-03   2.2840485e-03
   5.4890030e-03   9.9994569e-01  -8.8596346e-03
  -2.2354714e-03   8.8720161e-03   9.9995814e-01
   9.9961417e-01   2.5817546e-02  -1.0245057e-02
  -2.5724445e-02   9.9962749e-01   9.1174687e-03
   1.0476631e-02  -8.8504025e-03   9.9990595e-01
   9.9969815e-01   2.2755481e-02  -9.2623265e-03
  -2.2753681e-02   9.9974106e-01   2.9966757e-04
   9.2667472e-03  -8.8825092e-05   9.9995706e-01
   9.9999999e-01  -1.4301971e-04   5.8202990e-05
   1.4300444e-04   9.9999996e-01   2.6234765e-04
  -5.8240508e-05  -2.6233933e-04   9.9999996e-01
   1.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   1.0000000e+00
   1.0000000e+00   0.0000000e+00   0.0000000e+00
   0.0000000e+00   1.0000000e+00   0.0000000e+00
   0.0000000e+00   0.0000000e+00   1.0000000e+00
   0.99999960016501   0.00083678942077  -0.00031536214491
  -0.00082819282916   0.99965272502165   0.02633901010737
   0.00033729283254  -0.02633873839544   0.99965301834851
   9.9999960e-01   8.3678942e-04  -3.1536214e-04
  -8.2819283e-04   9.9965273e-01   2.6339010e-02
   3.3729283e-04  -2.6338738e-02   9.9965302e-01
